"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2021년 04월 09일","558,000","554,000","561,000","551,000","770.29K","1.82%"
"2021년 04월 08일","548,000","539,000","561,000","534,000","902.31K","1.11%"
"2021년 04월 07일","542,000","544,000","544,000","527,000","0.17K","-0.37%"
"2021년 04월 06일","544,000","506,000","545,000","505,000","0.18K","8.37%"
"2021년 04월 05일","502,000","503,000","505,000","500,000","306.96K","0.20%"
"2021년 04월 04일","501,000","501,000","501,000","501,000","-","0.00%"
"2021년 04월 02일","501,000","508,000","508,000","499,000","296.10K","0.40%"
"2021년 04월 01일","499,000","501,000","504,000","492,000","0.04K","0.20%"
"2021년 03월 31일","498,000","498,500","499,000","496,500","0.01K","0.91%"
"2021년 03월 30일","493,500","490,000","497,000","489,500","308.30K","1.23%"
"2021년 03월 29일","487,500","496,000","496,000","485,000","0.08K","-1.52%"
"2021년 03월 28일","495,000","495,000","495,000","495,000","-","0.00%"
"2021년 03월 26일","495,000","488,000","495,000","486,000","372.68K","2.06%"
"2021년 03월 25일","485,000","489,000","491,000","482,000","0.18K","-1.42%"
"2021년 03월 24일","492,000","487,000","492,000","482,000","0.05K","0.31%"
"2021년 03월 23일","490,500","496,000","503,000","485,500","0.03K","-0.71%"
"2021년 03월 22일","494,000","493,500","496,500","488,000","0.01K","0.30%"
"2021년 03월 21일","492,500","492,500","492,500","492,500","-","0.00%"
"2021년 03월 19일","492,500","488,500","497,000","484,000","513.70K","-1.10%"
"2021년 03월 18일","498,000","489,000","504,000","486,500","0.08K","2.68%"
"2021년 03월 17일","485,000","479,000","491,000","478,000","0.57K","1.25%"
"2021년 03월 16일","479,000","481,000","485,000","478,000","0.55K","0.00%"
"2021년 03월 15일","479,000","480,000","482,000","472,000","0.00K","-0.42%"
"2021년 03월 14일","481,000","481,000","481,000","481,000","-","0.00%"
"2021년 03월 12일","481,000","489,000","490,000","477,000","430.60K","0.42%"
"2021년 03월 11일","479,000","461,000","484,500","457,500","0.02K","4.13%"
"2021년 03월 10일","460,000","452,500","464,500","449,500","0.41K","4.31%"
"2021년 03월 09일","441,000","448,000","451,500","434,500","0.00K","-2.86%"
"2021년 03월 08일","454,000","472,000","474,000","454,000","0.58K","-3.61%"
"2021년 03월 07일","471,000","471,000","471,000","471,000","-","0.00%"
"2021년 03월 05일","471,000","469,000","474,000","463,000","707.09K","-2.28%"
"2021년 03월 04일","482,000","487,500","490,000","481,000","0.35K","-2.33%"
"2021년 03월 03일","493,500","490,500","495,000","488,000","0.17K","0.41%"
"2021년 03월 02일","491,500","499,000","504,000","490,000","0.05K","0.72%"
"2021년 03월 01일","488,000","488,000","488,000","488,000","-","0.00%"
"2021년 02월 26일","488,000","497,500","502,000","480,500","1.60M","0.72%"
"2021년 02월 25일","484,500","478,000","484,500","473,500","2.17K","2.32%"
"2021년 02월 24일","473,500","487,000","492,500","472,500","0.01K","-2.77%"
"2021년 02월 23일","487,000","482,000","492,500","477,500","0.55K","-0.71%"
"2021년 02월 22일","490,500","509,000","509,000","490,000","0.14K","-2.68%"
"2021년 02월 21일","504,000","504,000","504,000","504,000","-","0.00%"
"2021년 02월 19일","504,000","497,000","506,000","490,000","690.14K","0.60%"
"2021년 02월 18일","501,000","506,000","517,000","501,000","0.53K","-1.57%"
"2021년 02월 17일","509,000","514,000","514,000","503,000","0.18K","-0.97%"
"2021년 02월 16일","514,000","503,000","519,000","499,500","0.90K","2.39%"
"2021년 02월 15일","502,000","498,500","505,000","492,500","0.03K","2.55%"
"2021년 02월 14일","489,500","489,500","489,500","489,500","-","0.00%"
"2021년 02월 10일","489,500","466,000","490,500","466,000","1.80M","6.18%"
"2021년 02월 09일","461,000","460,000","467,500","452,500","0.02K","0.88%"
"2021년 02월 08일","457,000","455,000","462,000","450,000","0.13K","0.44%"
"2021년 02월 07일","455,000","455,000","455,000","455,000","-","0.00%"
"2021년 02월 05일","455,000","457,000","461,000","447,500","405.93K","0.11%"
"2021년 02월 04일","454,500","462,500","462,500","449,500","0.02K","-1.62%"
"2021년 02월 03일","462,000","450,500","462,000","447,000","0.07K","3.70%"
"2021년 02월 02일","445,500","450,000","457,000","444,000","0.04K","0.91%"
"2021년 02월 01일","441,500","436,500","443,000","425,500","0.02K","0.11%"
"2021년 01월 31일","441,000","441,000","441,000","441,000","-","0.00%"
"2021년 01월 29일","441,000","460,000","460,500","436,000","1.07M","-3.71%"
"2021년 01월 28일","458,000","454,000","468,500","452,500","0.06K","-1.51%"
"2021년 01월 27일","465,000","463,000","476,500","461,000","0.04K","0.87%"
"2021년 01월 26일","461,000","479,000","479,000","460,500","0.50K","-2.64%"
"2021년 01월 25일","473,500","472,000","475,500","460,000","0.03K","2.27%"
"2021년 01월 24일","463,000","463,000","463,000","463,000","-","0.00%"
"2021년 01월 22일","463,000","456,000","476,000","452,500","1.16M","1.98%"
"2021년 01월 21일","454,000","452,500","460,500","452,000","0.20K","2.25%"
"2021년 01월 20일","444,000","447,500","450,000","437,000","0.14K","0.91%"
"2021년 01월 19일","440,000","429,000","444,500","428,000","0.09K","2.92%"
"2021년 01월 18일","427,500","434,000","441,000","427,000","0.38K","-2.29%"
"2021년 01월 17일","437,500","437,500","437,500","437,500","-","0.00%"
"2021년 01월 15일","437,500","452,000","459,000","436,500","988.52K","-3.10%"
"2021년 01월 14일","451,500","454,000","463,000","450,000","3.65K","-0.66%"
"2021년 01월 13일","454,500","458,500","461,500","450,000","0.16K","-0.66%"
"2021년 01월 12일","457,500","446,000","460,000","433,000","0.19K","0.99%"
"2021년 01월 11일","453,000","441,500","462,500","429,500","1.26K","4.38%"
"2021년 01월 10일","434,000","434,000","434,000","434,000","-","0.00%"
"2021년 01월 08일","434,000","413,000","436,000","404,500","2.45M","7.83%"
"2021년 01월 07일","402,500","402,000","403,500","393,000","0.01K","1.77%"
"2021년 01월 06일","395,500","394,500","410,000","394,500","0.21K","0.64%"
"2021년 01월 05일","393,000","393,000","395,500","387,000","745.87K","-0.76%"
"2021년 01월 04일","396,000","389,500","396,500","385,500","0.99K","1.67%"
"2020년 12월 30일","389,500","384,500","394,000","383,500","809.94K","1.30%"
"2020년 12월 29일","384,500","380,500","385,500","378,000","0.08K","3.08%"
"2020년 12월 28일","373,000","374,000","377,000","369,500","0.02K","-0.27%"
"2020년 12월 27일","374,000","374,000","374,000","374,000","-","0.00%"
"2020년 12월 24일","374,000","378,500","380,000","372,000","461.50K","-0.93%"
"2020년 12월 23일","377,500","381,000","385,500","377,000","0.07K","0.40%"
"2020년 12월 22일","376,000","380,000","389,500","376,000","0.04K","-0.92%"
"2020년 12월 21일","379,500","367,500","380,000","367,000","0.69K","3.41%"
"2020년 12월 20일","367,000","367,000","367,000","367,000","-","0.00%"
"2020년 12월 18일","367,000","369,000","369,500","365,500","425.19K","-0.54%"
"2020년 12월 17일","369,000","373,500","374,000","368,500","0.05K","-0.81%"
"2020년 12월 16일","372,000","373,000","375,000","371,000","0.20K","0.27%"
"2020년 12월 15일","371,000","373,000","375,500","369,000","0.03K","-0.67%"
"2020년 12월 14일","373,500","376,000","381,000","372,500","0.44K","-0.27%"
"2020년 12월 13일","374,500","374,500","374,500","374,500","-","0.00%"
"2020년 12월 11일","374,500","374,000","380,000","373,000","435.67K","1.08%"
"2020년 12월 10일","370,500","371,000","378,000","367,500","0.00K","-1.20%"
"2020년 12월 09일","375,000","375,000","378,000","373,000","576.66K","0.13%"
"2020년 12월 08일","374,500","387,500","387,500","374,000","0.16K","-2.73%"
"2020년 12월 07일","385,000","394,500","395,000","380,500","0.44K","-1.16%"
"2020년 12월 06일","389,500","389,500","389,500","389,500","-","0.00%"
"2020년 12월 04일","389,500","374,000","392,500","371,000","1.55M","4.14%"
"2020년 12월 03일","374,000","373,000","374,000","369,000","0.07K","0.27%"
"2020년 12월 02일","373,000","375,500","375,500","371,000","417.61K","-0.40%"
"2020년 12월 01일","374,500","369,500","375,000","369,000","0.02K","1.77%"
"2020년 11월 30일","368,000","373,000","374,000","368,000","533.94K","-1.34%"
"2020년 11월 29일","373,000","373,000","373,000","373,000","-","0.00%"
"2020년 11월 27일","373,000","375,500","377,500","371,000","334.04K","-0.27%"
"2020년 11월 26일","374,000","367,500","374,500","367,000","0.07K","1.91%"
"2020년 11월 25일","367,000","377,000","377,000","366,000","0.15K","-1.61%"
"2020년 11월 24일","373,000","367,000","376,500","367,000","0.10K","1.63%"
"2020년 11월 23일","367,000","368,000","369,000","365,000","0.21K","0.41%"
"2020년 11월 22일","365,500","365,500","365,500","365,500","-","0.00%"
"2020년 11월 20일","365,500","366,500","368,000","362,000","263.46K","0.00%"
"2020년 11월 19일","365,500","367,000","371,500","365,500","0.06K","0.00%"
"2020년 11월 18일","365,500","360,000","368,500","360,000","0.35K","0.97%"
"2020년 11월 17일","362,000","358,500","365,000","356,000","0.16K","0.00%"
"2020년 11월 16일","362,000","370,500","371,000","359,500","0.13K","-0.96%"
"2020년 11월 15일","365,500","365,500","365,500","365,500","-","0.00%"
"2020년 11월 13일","365,500","355,000","366,000","355,000","532.86K","2.24%"
"2020년 11월 12일","357,500","360,000","364,000","355,000","0.23K","0.56%"
"2020년 11월 11일","355,500","352,000","358,500","348,000","0.01K","-0.14%"
"2020년 11월 10일","356,000","357,500","361,500","354,000","0.40K","-4.17%"
"2020년 11월 09일","371,500","375,000","375,500","367,500","0.68K","0.27%"
"2020년 11월 08일","370,500","370,500","370,500","370,500","-","0.00%"
"2020년 11월 06일","370,500","367,000","380,500","365,500","1.31M","2.07%"
"2020년 11월 05일","363,000","357,000","368,500","353,500","0.04K","0.97%"
"2020년 11월 04일","359,500","340,000","361,000","340,000","1.57K","6.84%"
"2020년 11월 03일","336,500","334,500","339,000","332,000","0.04K","0.60%"
"2020년 11월 02일","334,500","330,500","335,500","328,000","318.11K","1.36%"
"2020년 11월 01일","330,000","330,000","330,000","330,000","-","0.00%"
"2020년 10월 30일","330,000","343,000","344,000","330,000","549.57K","-3.79%"
"2020년 10월 29일","343,000","342,000","345,000","338,500","1.02K","-1.01%"
"2020년 10월 28일","346,500","335,500","346,500","335,000","0.08K","3.74%"
"2020년 10월 27일","334,000","324,500","343,500","324,500","0.02K","1.37%"
"2020년 10월 26일","329,500","337,500","341,000","328,000","0.10K","-3.09%"
"2020년 10월 25일","340,000","340,000","340,000","340,000","-","0.00%"
"2020년 10월 23일","340,000","348,500","350,000","340,000","614.06K","-2.58%"
"2020년 10월 22일","349,000","351,500","351,500","345,500","0.35K","-1.27%"
"2020년 10월 21일","353,500","351,000","361,000","351,000","0.23K","0.28%"
"2020년 10월 20일","352,500","348,000","352,500","340,000","0.01K","-0.14%"
"2020년 10월 19일","353,000","358,500","362,500","352,000","1.04K","-1.26%"
"2020년 10월 18일","357,500","357,500","357,500","357,500","-","0.00%"
"2020년 10월 16일","357,500","361,000","362,000","355,000","398.18K","-1.24%"
"2020년 10월 15일","362,000","368,500","368,500","360,000","0.17K","-1.76%"
"2020년 10월 14일","368,500","370,000","375,000","366,500","0.07K","-0.94%"
"2020년 10월 13일","372,000","374,500","377,000","371,500","0.02K","0.13%"
"2020년 10월 12일","371,500","383,000","383,000","371,000","0.05K","-1.98%"
"2020년 10월 11일","379,000","379,000","379,000","379,000","-","0.00%"
"2020년 10월 08일","379,000","383,500","387,000","379,000","621.77K","-0.39%"
"2020년 10월 07일","380,500","378,000","381,500","376,000","0.02K","-0.26%"
"2020년 10월 06일","381,500","373,000","383,500","370,000","0.22K","2.97%"
"2020년 10월 05일","370,500","361,500","370,500","359,000","0.04K","1.65%"
"2020년 10월 04일","364,500","364,500","364,500","364,500","-","0.00%"
"2020년 09월 29일","364,500","374,500","375,000","364,000","583.81K","-1.22%"
"2020년 09월 28일","369,000","356,500","372,000","354,500","0.08K","4.98%"
"2020년 09월 27일","351,500","351,500","351,500","351,500","-","0.00%"
"2020년 09월 25일","351,500","356,000","358,000","346,500","445.75K","-0.14%"
"2020년 09월 24일","352,000","361,000","361,000","351,000","0.11K","-3.69%"
"2020년 09월 23일","365,500","358,500","367,000","353,000","2.73K","3.54%"
"2020년 09월 22일","353,000","361,500","369,000","351,500","0.04K","-3.16%"
"2020년 09월 21일","364,500","371,500","373,000","364,000","0.57K","-2.28%"
"2020년 09월 20일","373,000","373,000","373,000","373,000","-","0.00%"
"2020년 09월 18일","373,000","369,000","377,000","366,000","488.77K","0.54%"
"2020년 09월 17일","371,000","373,500","373,500","369,000","0.30K","-1.59%"
"2020년 09월 16일","377,000","384,000","384,000","377,000","0.19K","-1.05%"
"2020년 09월 15일","381,000","371,000","385,000","369,500","0.04K","2.01%"
"2020년 09월 14일","373,500","377,000","377,500","369,000","0.34K","-1.45%"
"2020년 09월 13일","379,000","379,000","379,000","379,000","-","0.00%"
"2020년 09월 11일","379,000","382,000","384,000","375,500","786.40K","-1.69%"
"2020년 09월 10일","385,500","392,000","396,500","384,000","0.46K","0.39%"
"2020년 09월 09일","384,000","382,000","388,000","379,000","0.33K","-1.54%"
"2020년 09월 08일","390,000","393,500","398,500","381,000","0.50K","-0.51%"
"2020년 09월 07일","392,000","401,000","401,000","391,000","0.52K","-2.49%"
"2020년 09월 06일","402,000","402,000","402,000","402,000","-","0.00%"
"2020년 09월 04일","402,000","390,000","404,500","389,500","1.16M","-1.95%"
"2020년 09월 03일","410,000","415,500","415,500","404,500","0.65K","-0.49%"
"2020년 09월 02일","412,000","405,500","412,000","401,500","0.06K","2.62%"
"2020년 09월 01일","401,500","413,500","416,000","400,000","0.04K","-1.35%"
"2020년 08월 31일","407,000","410,500","420,000","401,000","0.04K","0.37%"
"2020년 08월 30일","405,500","405,500","405,500","405,500","-","0.00%"
"2020년 08월 28일","405,500","413,500","416,000","400,000","1.50M","-1.22%"
"2020년 08월 27일","410,500","396,500","413,000","396,500","0.45K","4.72%"
"2020년 08월 26일","392,000","380,500","394,000","378,000","0.10K","2.89%"
"2020년 08월 25일","381,000","384,500","385,000","377,000","880.51K","0.26%"
"2020년 08월 24일","380,000","374,500","382,500","367,500","0.04K","2.70%"
"2020년 08월 23일","370,000","370,000","370,000","370,000","-","0.00%"
"2020년 08월 21일","370,000","370,000","373,500","362,000","1.01M","1.51%"
"2020년 08월 20일","364,500","375,500","383,000","359,500","1.11K","-3.19%"
"2020년 08월 19일","376,500","385,000","385,000","372,500","1.90K","-0.40%"
"2020년 08월 18일","378,000","372,000","389,500","368,000","0.14K","4.28%"
"2020년 08월 17일","362,500","362,500","362,500","362,500","-","0.00%"
"2020년 08월 14일","362,500","361,000","366,000","358,000","818.50K","0.55%"
"2020년 08월 13일","360,500","359,000","365,000","356,500","0.39K","1.84%"
"2020년 08월 12일","354,000","349,000","356,500","347,500","0.14K","0.43%"
"2020년 08월 11일","352,500","351,500","356,000","348,000","0.34K","-0.98%"
"2020년 08월 10일","356,000","345,500","358,500","342,000","0.23K","0.85%"
"2020년 08월 09일","353,000","353,000","353,000","353,000","-","0.00%"
"2020년 08월 07일","353,000","368,000","370,000","350,500","1.89M","-3.02%"
"2020년 08월 06일","364,000","358,500","372,500","358,500","1.07K","-1.75%"
"2020년 08월 05일","370,500","366,500","371,000","363,000","14.31K","0.14%"
"2020년 08월 04일","370,000","379,000","383,500","361,000","1.70K","1.09%"
"2020년 08월 03일","366,000","347,000","366,000","347,000","0.12K","6.55%"
"2020년 08월 02일","343,500","343,500","343,500","343,500","-","0.00%"
"2020년 07월 31일","343,500","336,000","344,000","335,500","1.07M","3.46%"
"2020년 07월 30일","332,000","335,500","337,000","331,500","0.50K","0.15%"
"2020년 07월 29일","331,500","329,000","333,000","325,000","0.29K","0.61%"
"2020년 07월 28일","329,500","331,500","335,500","328,500","2.02K","0.92%"
"2020년 07월 27일","326,500","321,500","329,500","320,500","0.04K","0.62%"
"2020년 07월 26일","324,500","324,500","324,500","324,500","-","0.00%"
"2020년 07월 24일","324,500","325,000","333,000","322,000","898.06K","-1.52%"
"2020년 07월 23일","329,500","316,500","329,500","315,000","1.25M","3.62%"
"2020년 07월 22일","318,000","310,500","321,000","306,000","0.47K","0.63%"
"2020년 07월 21일","316,000","323,500","325,500","311,500","1.10K","1.94%"
"2020년 07월 20일","310,000","325,000","325,000","310,000","0.13K","-4.62%"
"2020년 07월 19일","325,000","325,000","325,000","325,000","-","0.00%"
"2020년 07월 17일","325,000","319,000","327,000","314,000","1.26M","0.93%"
"2020년 07월 16일","322,000","332,000","334,500","319,000","1.65K","-4.59%"
"2020년 07월 15일","337,500","344,500","349,500","332,000","0.61K","-1.60%"
"2020년 07월 14일","343,000","341,500","346,000","340,000","4.96K","-2.56%"
"2020년 07월 13일","352,000","348,000","355,500","347,000","0.50K","-0.98%"
"2020년 07월 10일","355,500","351,000","368,000","345,500","2.55M","0.00%"
"2020년 07월 09일","355,500","335,000","355,500","332,500","4.12K","8.38%"
"2020년 07월 08일","328,000","312,000","328,000","305,000","0.37K","5.64%"
"2020년 07월 07일","310,500","306,000","317,500","304,500","0.58K","3.33%"
"2020년 07월 06일","300,500","297,500","307,000","297,500","0.16K","2.21%"
"2020년 07월 05일","294,000","294,000","294,000","294,000","-","0.00%"
"2020년 07월 03일","294,000","289,500","297,000","284,000","1.60M","2.98%"
"2020년 07월 02일","285,500","273,000","285,500","273,000","0.03K","5.94%"
"2020년 07월 01일","269,500","271,000","275,000","267,500","0.14K","0.75%"
"2020년 06월 30일","267,500","272,000","273,000","267,500","0.02K","0.00%"
"2020년 06월 29일","267,500","269,000","273,500","266,500","0.04K","-2.55%"
"2020년 06월 28일","274,500","274,500","274,500","274,500","-","0.00%"
"2020년 06월 26일","274,500","279,500","280,000","268,000","809.55K","0.00%"
"2020년 06월 25일","274,500","278,500","281,500","273,500","0.01K","-2.83%"
"2020년 06월 24일","282,500","281,500","284,000","275,000","0.12K","0.36%"
"2020년 06월 23일","281,500","278,500","289,000","277,500","0.13K","2.74%"
"2020년 06월 22일","274,000","263,000","276,000","260,500","0.04K","3.98%"
"2020년 06월 21일","263,500","263,500","263,500","263,500","-","0.00%"
"2020년 06월 19일","263,500","267,500","269,500","262,000","910.40K","0.00%"
"2020년 06월 18일","263,500","264,500","266,500","260,500","0.05K","0.19%"
"2020년 06월 17일","263,000","262,500","264,500","262,000","2.54K","0.00%"
"2020년 06월 16일","263,000","260,500","263,000","258,000","892.39K","4.16%"
"2020년 06월 15일","252,500","266,000","271,000","250,000","1.54M","-5.08%"
"2020년 06월 14일","266,000","266,000","266,000","266,000","-","0.00%"
"2020년 06월 12일","266,000","256,500","268,000","256,000","1.68M","0.38%"
"2020년 06월 11일","265,000","264,000","268,000","261,000","0.15K","1.15%"
"2020년 06월 10일","262,000","257,000","263,500","257,000","0.48K","2.95%"
"2020년 06월 09일","254,500","255,500","259,500","252,500","0.23K","-0.78%"
"2020년 06월 08일","256,500","252,500","258,000","248,500","0.13K","2.19%"
"2020년 06월 07일","251,000","251,000","251,000","251,000","-","0.00%"
"2020년 06월 05일","251,000","253,000","253,500","247,500","1.00M","-1.18%"
"2020년 06월 04일","254,000","247,500","256,500","247,000","1.42K","1.80%"
"2020년 06월 03일","249,500","259,500","261,500","247,500","3.71K","-3.85%"
"2020년 06월 02일","259,500","262,500","262,500","257,000","1.50K","-1.70%"
"2020년 06월 01일","264,000","263,500","266,000","259,500","1.08M","0.19%"
"2020년 05월 31일","263,500","263,500","263,500","263,500","-","0.00%"
"2020년 05월 29일","263,500","263,500","267,500","257,500","1.63M","-1.31%"
"2020년 05월 28일","267,000","257,500","270,000","253,000","2.40K","2.50%"
"2020년 05월 27일","260,500","262,500","267,000","257,000","1.90K","-3.52%"
"2020년 05월 26일","270,000","273,000","279,500","261,000","1.19K","0.75%"
"2020년 05월 25일","268,000","250,500","269,500","249,500","3.02K","8.50%"
"2020년 05월 24일","247,000","247,000","247,000","247,000","-","0.00%"
"2020년 05월 22일","247,000","237,500","248,500","235,000","1.88M","4.00%"
"2020년 05월 21일","237,500","237,500","240,000","234,500","1.40M","2.59%"
"2020년 05월 20일","231,500","223,500","234,000","222,500","0.10K","5.23%"
"2020년 05월 19일","220,000","222,000","222,500","214,500","0.19K","-0.45%"
"2020년 05월 18일","221,000","221,500","225,500","219,000","0.91K","-0.23%"
"2020년 05월 17일","221,500","221,500","221,500","221,500","-","0.00%"
"2020년 05월 15일","221,500","228,500","231,500","216,000","1.52M","-1.56%"
"2020년 05월 14일","225,000","216,000","228,000","214,000","0.02K","3.93%"
