접수번호,사업연도,종목코드,보고서코드,계정명,개별연결구분,개별연결명,재무제표구분,재무제표명,당기명,당기일자,당기금액,당기누적금액,전기명,전기일자,전기금액,전기누적금액,전전기명,전전기일자,전전기금액,계정과목정렬순서
20160525000132,2015,019170,11011,유동자산,CFS,연결재무제표,BS,재무상태표,제 30 기,2015.12.31 현재,"218,856,872,846",,제 29 기,2014.12.31 현재,"211,321,483,076",,제 28 기,2013.12.31 현재,"200,308,709,462",1
20160525000132,2015,019170,11011,비유동자산,CFS,연결재무제표,BS,재무상태표,제 30 기,2015.12.31 현재,"191,873,367,079",,제 29 기,2014.12.31 현재,"197,973,961,228",,제 28 기,2013.12.31 현재,"198,046,017,037",3
20160525000132,2015,019170,11011,자산총계,CFS,연결재무제표,BS,재무상태표,제 30 기,2015.12.31 현재,"410,730,239,925",,제 29 기,2014.12.31 현재,"409,295,444,304",,제 28 기,2013.12.31 현재,"398,354,726,499",5
20160525000132,2015,019170,11011,유동부채,CFS,연결재무제표,BS,재무상태표,제 30 기,2015.12.31 현재,"184,244,913,884",,제 29 기,2014.12.31 현재,"180,509,225,369",,제 28 기,2013.12.31 현재,"152,631,584,428",7
20160525000132,2015,019170,11011,비유동부채,CFS,연결재무제표,BS,재무상태표,제 30 기,2015.12.31 현재,"31,623,975,374",,제 29 기,2014.12.31 현재,"37,271,843,717",,제 28 기,2013.12.31 현재,"54,937,818,333",9
20160525000132,2015,019170,11011,부채총계,CFS,연결재무제표,BS,재무상태표,제 30 기,2015.12.31 현재,"215,868,889,258",,제 29 기,2014.12.31 현재,"217,781,069,086",,제 28 기,2013.12.31 현재,"207,569,402,761",11
20160525000132,2015,019170,11011,이익잉여금,CFS,연결재무제표,BS,재무상태표,제 30 기,2015.12.31 현재,"162,242,882,403",,제 29 기,2014.12.31 현재,"162,881,584,660",,제 28 기,2013.12.31 현재,"163,498,299,113",17
20160525000132,2015,019170,11011,자본총계,CFS,연결재무제표,BS,재무상태표,제 30 기,2015.12.31 현재,"194,861,350,667",,제 29 기,2014.12.31 현재,"191,514,375,218",,제 28 기,2013.12.31 현재,"190,785,323,738",21
20160525000132,2015,019170,11011,매출액,CFS,연결재무제표,IS,손익계산서,제 30 기,2015.01.01 ~ 2015.12.31,"195,950,486,358",,제 29 기,2014.01.01 ~ 2014.12.31,"220,291,937,934",,제 28 기,2013.01.01 ~ 2013.12.31,"215,962,840,334",23
20160525000132,2015,019170,11011,영업이익,CFS,연결재무제표,IS,손익계산서,제 30 기,2015.01.01 ~ 2015.12.31,"4,235,609,236",,제 29 기,2014.01.01 ~ 2014.12.31,"19,251,751,472",,제 28 기,2013.01.01 ~ 2013.12.31,"24,811,385,996",25
20160525000132,2015,019170,11011,법인세차감전 순이익,CFS,연결재무제표,IS,손익계산서,제 30 기,2015.01.01 ~ 2015.12.31,"2,165,476,530",,제 29 기,2014.01.01 ~ 2014.12.31,"13,506,716,402",,제 28 기,2013.01.01 ~ 2013.12.31,"19,674,790,815",27
20160525000132,2015,019170,11011,당기순이익,CFS,연결재무제표,IS,손익계산서,제 30 기,2015.01.01 ~ 2015.12.31,"1,476,677,921",,제 29 기,2014.01.01 ~ 2014.12.31,"3,354,194,148",,제 28 기,2013.01.01 ~ 2013.12.31,"5,485,452,078",29
20160525000132,2015,019170,11011,유동자산,OFS,재무제표,BS,재무상태표,제 30 기,2015.12.31 현재,"210,815,696,508",,제 29 기,2014.12.31 현재,"205,917,940,926",,제 28 기,2013.12.31 현재,"196,845,360,276",2
20160525000132,2015,019170,11011,비유동자산,OFS,재무제표,BS,재무상태표,제 30 기,2015.12.31 현재,"191,723,249,006",,제 29 기,2014.12.31 현재,"195,954,823,734",,제 28 기,2013.12.31 현재,"195,593,397,583",4
20160525000132,2015,019170,11011,자산총계,OFS,재무제표,BS,재무상태표,제 30 기,2015.12.31 현재,"402,538,945,514",,제 29 기,2014.12.31 현재,"401,872,764,660",,제 28 기,2013.12.31 현재,"392,438,757,859",6
20160525000132,2015,019170,11011,유동부채,OFS,재무제표,BS,재무상태표,제 30 기,2015.12.31 현재,"182,659,569,739",,제 29 기,2014.12.31 현재,"179,115,865,108",,제 28 기,2013.12.31 현재,"151,627,439,506",8
20160525000132,2015,019170,11011,비유동부채,OFS,재무제표,BS,재무상태표,제 30 기,2015.12.31 현재,"31,623,975,374",,제 29 기,2014.12.31 현재,"37,271,843,717",,제 28 기,2013.12.31 현재,"54,925,104,027",10
20160525000132,2015,019170,11011,부채총계,OFS,재무제표,BS,재무상태표,제 30 기,2015.12.31 현재,"214,283,545,113",,제 29 기,2014.12.31 현재,"216,387,708,825",,제 28 기,2013.12.31 현재,"206,552,543,533",12
20160525000132,2015,019170,11011,이익잉여금,OFS,재무제표,BS,재무상태표,제 30 기,2015.12.31 현재,"151,446,018,099",,제 29 기,2014.12.31 현재,"152,424,407,498",,제 28 기,2013.12.31 현재,"153,595,236,543",19
20160525000132,2015,019170,11011,자본총계,OFS,재무제표,BS,재무상태표,제 30 기,2015.12.31 현재,"188,255,400,401",,제 29 기,2014.12.31 현재,"185,485,055,835",,제 28 기,2013.12.31 현재,"185,886,214,326",22
20160525000132,2015,019170,11011,매출액,OFS,재무제표,IS,손익계산서,제 30 기,2015.01.01 ~ 2015.12.31,"185,478,014,927",,제 29 기,2014.01.01 ~ 2014.12.31,"209,583,526,314",,제 28 기,2013.01.01 ~ 2013.12.31,"206,471,348,564",24
20160525000132,2015,019170,11011,영업이익,OFS,재무제표,IS,손익계산서,제 30 기,2015.01.01 ~ 2015.12.31,"3,725,437,863",,제 29 기,2014.01.01 ~ 2014.12.31,"19,995,620,470",,제 28 기,2013.01.01 ~ 2013.12.31,"23,192,697,810",26
20160525000132,2015,019170,11011,법인세차감전 순이익,OFS,재무제표,IS,손익계산서,제 30 기,2015.01.01 ~ 2015.12.31,"1,559,623,724",,제 29 기,2014.01.01 ~ 2014.12.31,"12,890,863,433",,제 28 기,2013.01.01 ~ 2013.12.31,"16,287,189,185",28
20160525000132,2015,019170,11011,당기순이익,OFS,재무제표,IS,손익계산서,제 30 기,2015.01.01 ~ 2015.12.31,"1,136,528,865",,제 29 기,2014.01.01 ~ 2014.12.31,"2,795,502,764",,제 28 기,2013.01.01 ~ 2013.12.31,"2,482,949,076",30
20160516001449,2016,019170,11013,유동자산,CFS,연결재무제표,BS,재무상태표,제 31 기1분기말,2016.03.31 현재,"215,576,544,621",,제 30 기말,2015.12.31 현재,"218,856,872,846",,,,,1
20160516001449,2016,019170,11013,비유동자산,CFS,연결재무제표,BS,재무상태표,제 31 기1분기말,2016.03.31 현재,"189,243,901,964",,제 30 기말,2015.12.31 현재,"191,873,367,079",,,,,3
20160516001449,2016,019170,11013,자산총계,CFS,연결재무제표,BS,재무상태표,제 31 기1분기말,2016.03.31 현재,"404,820,446,585",,제 30 기말,2015.12.31 현재,"410,730,239,925",,,,,5
20160516001449,2016,019170,11013,유동부채,CFS,연결재무제표,BS,재무상태표,제 31 기1분기말,2016.03.31 현재,"176,182,998,824",,제 30 기말,2015.12.31 현재,"184,244,913,884",,,,,7
20160516001449,2016,019170,11013,비유동부채,CFS,연결재무제표,BS,재무상태표,제 31 기1분기말,2016.03.31 현재,"33,706,545,214",,제 30 기말,2015.12.31 현재,"31,623,975,374",,,,,9
20160516001449,2016,019170,11013,부채총계,CFS,연결재무제표,BS,재무상태표,제 31 기1분기말,2016.03.31 현재,"209,889,544,038",,제 30 기말,2015.12.31 현재,"215,868,889,258",,,,,11
20160516001449,2016,019170,11013,이익잉여금,CFS,연결재무제표,BS,재무상태표,제 31 기1분기말,2016.03.31 현재,"162,418,166,042",,제 30 기말,2015.12.31 현재,"162,242,882,403",,,,,17
20160516001449,2016,019170,11013,자본총계,CFS,연결재무제표,BS,재무상태표,제 31 기1분기말,2016.03.31 현재,"194,930,902,547",,제 30 기말,2015.12.31 현재,"194,861,350,667",,,,,21
20160516001449,2016,019170,11013,매출액,CFS,연결재무제표,IS,손익계산서,제 31 기1분기,2016.01.01 ~ 2016.03.31,"47,704,254,474","47,704,254,474",제 30 기1분기,2015.01.01 ~ 2015.03.31,"50,560,406,885","50,560,406,885",,,,23
20160516001449,2016,019170,11013,영업이익,CFS,연결재무제표,IS,손익계산서,제 31 기1분기,2016.01.01 ~ 2016.03.31,"2,291,261,234","2,291,261,234",제 30 기1분기,2015.01.01 ~ 2015.03.31,"1,751,120,644","1,751,120,644",,,,25
20160516001449,2016,019170,11013,법인세차감전 순이익,CFS,연결재무제표,IS,손익계산서,제 31 기1분기,2016.01.01 ~ 2016.03.31,"274,470,202","274,470,202",제 30 기1분기,2015.01.01 ~ 2015.03.31,"219,247,585","219,247,585",,,,27
20160516001449,2016,019170,11013,당기순이익,CFS,연결재무제표,IS,손익계산서,제 31 기1분기,2016.01.01 ~ 2016.03.31,"164,410,345","164,410,345",제 30 기1분기,2015.01.01 ~ 2015.03.31,"-35,369,888","-35,369,888",,,,29
20160516001449,2016,019170,11013,유동자산,OFS,재무제표,BS,재무상태표,제 31 기1분기말,2016.03.31 현재,"207,181,723,435",,제 30 기말,2015.12.31 현재,"210,815,696,508",,,,,2
20160516001449,2016,019170,11013,비유동자산,OFS,재무제표,BS,재무상태표,제 31 기1분기말,2016.03.31 현재,"189,821,122,548",,제 30 기말,2015.12.31 현재,"191,723,249,006",,,,,4
20160516001449,2016,019170,11013,자산총계,OFS,재무제표,BS,재무상태표,제 31 기1분기말,2016.03.31 현재,"397,002,845,983",,제 30 기말,2015.12.31 현재,"402,538,945,514",,,,,6
20160516001449,2016,019170,11013,유동부채,OFS,재무제표,BS,재무상태표,제 31 기1분기말,2016.03.31 현재,"174,624,280,122",,제 30 기말,2015.12.31 현재,"182,659,569,739",,,,,8
20160516001449,2016,019170,11013,비유동부채,OFS,재무제표,BS,재무상태표,제 31 기1분기말,2016.03.31 현재,"33,706,545,214",,제 30 기말,2015.12.31 현재,"31,623,975,374",,,,,10
20160516001449,2016,019170,11013,부채총계,OFS,재무제표,BS,재무상태표,제 31 기1분기말,2016.03.31 현재,"208,330,825,336",,제 30 기말,2015.12.31 현재,"214,283,545,113",,,,,12
20160516001449,2016,019170,11013,이익잉여금,OFS,재무제표,BS,재무상태표,제 31 기1분기말,2016.03.31 현재,"151,767,389,616",,제 30 기말,2015.12.31 현재,"151,446,018,099",,,,,19
20160516001449,2016,019170,11013,자본총계,OFS,재무제표,BS,재무상태표,제 31 기1분기말,2016.03.31 현재,"188,672,020,647",,제 30 기말,2015.12.31 현재,"188,255,400,401",,,,,22
20160516001449,2016,019170,11013,매출액,OFS,재무제표,IS,손익계산서,제 31 기1분기,2016.01.01 ~ 2016.03.31,"44,789,581,179","44,789,581,179",제 30 기1분기,2015.01.01 ~ 2015.03.31,"49,966,401,889","49,966,401,889",,,,24
20160516001449,2016,019170,11013,영업이익,OFS,재무제표,IS,손익계산서,제 31 기1분기,2016.01.01 ~ 2016.03.31,"2,156,477,315","2,156,477,315",제 30 기1분기,2015.01.01 ~ 2015.03.31,"2,683,031,313","2,683,031,313",,,,26
20160516001449,2016,019170,11013,법인세차감전 순이익,OFS,재무제표,IS,손익계산서,제 31 기1분기,2016.01.01 ~ 2016.03.31,"423,972,977","423,972,977",제 30 기1분기,2015.01.01 ~ 2015.03.31,"1,308,992,371","1,308,992,371",,,,28
20160516001449,2016,019170,11013,당기순이익,OFS,재무제표,IS,손익계산서,제 31 기1분기,2016.01.01 ~ 2016.03.31,"321,371,517","321,371,517",제 30 기1분기,2015.01.01 ~ 2015.03.31,"997,949,108","997,949,108",,,,30
20160816000569,2016,019170,11012,유동자산,CFS,연결재무제표,BS,재무상태표,제 31 기반기말,2016.06.30 현재,"244,506,692,307",,제 30 기말,2015.12.31 현재,"218,856,872,846",,,,,1
20160816000569,2016,019170,11012,비유동자산,CFS,연결재무제표,BS,재무상태표,제 31 기반기말,2016.06.30 현재,"185,344,671,459",,제 30 기말,2015.12.31 현재,"191,873,367,079",,,,,3
20160816000569,2016,019170,11012,자산총계,CFS,연결재무제표,BS,재무상태표,제 31 기반기말,2016.06.30 현재,"429,851,363,766",,제 30 기말,2015.12.31 현재,"410,730,239,925",,,,,5
20160816000569,2016,019170,11012,유동부채,CFS,연결재무제표,BS,재무상태표,제 31 기반기말,2016.06.30 현재,"161,279,699,114",,제 30 기말,2015.12.31 현재,"184,244,913,884",,,,,7
20160816000569,2016,019170,11012,비유동부채,CFS,연결재무제표,BS,재무상태표,제 31 기반기말,2016.06.30 현재,"33,697,991,587",,제 30 기말,2015.12.31 현재,"31,623,975,374",,,,,9
20160816000569,2016,019170,11012,부채총계,CFS,연결재무제표,BS,재무상태표,제 31 기반기말,2016.06.30 현재,"194,977,690,701",,제 30 기말,2015.12.31 현재,"215,868,889,258",,,,,11
20160816000569,2016,019170,11012,이익잉여금,CFS,연결재무제표,BS,재무상태표,제 31 기반기말,2016.06.30 현재,"164,793,831,710",,제 30 기말,2015.12.31 현재,"162,242,882,403",,,,,17
20160816000569,2016,019170,11012,자본총계,CFS,연결재무제표,BS,재무상태표,제 31 기반기말,2016.06.30 현재,"234,873,673,065",,제 30 기말,2015.12.31 현재,"194,861,350,667",,,,,21
20160816000569,2016,019170,11012,매출액,CFS,연결재무제표,IS,손익계산서,제 31 기반기,2016.01.01 ~ 2016.06.30,"51,507,920,499","99,212,174,973",제 30 기반기,2015.01.01 ~ 2015.06.30,"46,862,802,732","97,423,209,617",,,,23
20160816000569,2016,019170,11012,영업이익,CFS,연결재무제표,IS,손익계산서,제 31 기반기,2016.01.01 ~ 2016.06.30,"985,334,674","3,276,595,908",제 30 기반기,2015.01.01 ~ 2015.06.30,"-892,029,106","859,091,538",,,,25
20160816000569,2016,019170,11012,법인세차감전 순이익,CFS,연결재무제표,IS,손익계산서,제 31 기반기,2016.01.01 ~ 2016.06.30,"3,064,069,032","3,338,539,234",제 30 기반기,2015.01.01 ~ 2015.06.30,"-2,071,585,670","-1,852,338,085",,,,27
20160816000569,2016,019170,11012,당기순이익,CFS,연결재무제표,IS,손익계산서,제 31 기반기,2016.01.01 ~ 2016.06.30,"2,394,937,554","2,559,347,899",제 30 기반기,2015.01.01 ~ 2015.06.30,"-1,993,675,460","-2,029,045,348",,,,29
20160816000569,2016,019170,11012,유동자산,OFS,재무제표,BS,재무상태표,제 31 기반기말,2016.06.30 현재,"235,187,476,278",,제 30 기말,2015.12.31 현재,"210,815,696,508",,,,,2
20160816000569,2016,019170,11012,비유동자산,OFS,재무제표,BS,재무상태표,제 31 기반기말,2016.06.30 현재,"185,980,158,078",,제 30 기말,2015.12.31 현재,"191,723,249,006",,,,,4
20160816000569,2016,019170,11012,자산총계,OFS,재무제표,BS,재무상태표,제 31 기반기말,2016.06.30 현재,"421,167,634,356",,제 30 기말,2015.12.31 현재,"402,538,945,514",,,,,6
20160816000569,2016,019170,11012,유동부채,OFS,재무제표,BS,재무상태표,제 31 기반기말,2016.06.30 현재,"159,364,711,850",,제 30 기말,2015.12.31 현재,"182,659,569,739",,,,,8
20160816000569,2016,019170,11012,비유동부채,OFS,재무제표,BS,재무상태표,제 31 기반기말,2016.06.30 현재,"33,697,991,587",,제 30 기말,2015.12.31 현재,"31,623,975,374",,,,,10
20160816000569,2016,019170,11012,부채총계,OFS,재무제표,BS,재무상태표,제 31 기반기말,2016.06.30 현재,"193,062,703,437",,제 30 기말,2015.12.31 현재,"214,283,545,113",,,,,12
20160816000569,2016,019170,11012,이익잉여금,OFS,재무제표,BS,재무상태표,제 31 기반기말,2016.06.30 현재,"153,585,234,478",,제 30 기말,2015.12.31 현재,"151,446,018,099",,,,,19
20160816000569,2016,019170,11012,자본총계,OFS,재무제표,BS,재무상태표,제 31 기반기말,2016.06.30 현재,"228,104,930,919",,제 30 기말,2015.12.31 현재,"188,255,400,401",,,,,22
20160816000569,2016,019170,11012,매출액,OFS,재무제표,IS,손익계산서,제 31 기반기,2016.01.01 ~ 2016.06.30,"47,955,934,643","92,745,515,822",제 30 기반기,2015.01.01 ~ 2015.06.30,"43,907,500,931","93,873,902,820",,,,24
20160816000569,2016,019170,11012,영업이익,OFS,재무제표,IS,손익계산서,제 31 기반기,2016.01.01 ~ 2016.06.30,"576,329,434","2,732,806,749",제 30 기반기,2015.01.01 ~ 2015.06.30,"-1,306,058,295","1,376,973,018",,,,26
20160816000569,2016,019170,11012,법인세차감전 순이익,OFS,재무제표,IS,손익계산서,제 31 기반기,2016.01.01 ~ 2016.06.30,"2,464,380,962","2,888,353,939",제 30 기반기,2015.01.01 ~ 2015.06.30,"-2,577,685,274","-1,268,692,903",,,,28
20160816000569,2016,019170,11012,당기순이익,OFS,재무제표,IS,손익계산서,제 31 기반기,2016.01.01 ~ 2016.06.30,"1,817,844,862","2,139,216,379",제 30 기반기,2015.01.01 ~ 2015.06.30,"-2,406,160,190","-1,408,211,082",,,,30
20161114000618,2016,019170,11014,유동자산,CFS,연결재무제표,BS,재무상태표,제 31 기3분기말,2016.09.30 현재,"240,622,096,067",,제 30 기말,2015.12.31 현재,"218,856,872,846",,,,,1
20161114000618,2016,019170,11014,비유동자산,CFS,연결재무제표,BS,재무상태표,제 31 기3분기말,2016.09.30 현재,"182,256,116,533",,제 30 기말,2015.12.31 현재,"191,873,367,079",,,,,3
20161114000618,2016,019170,11014,자산총계,CFS,연결재무제표,BS,재무상태표,제 31 기3분기말,2016.09.30 현재,"422,878,212,600",,제 30 기말,2015.12.31 현재,"410,730,239,925",,,,,5
20161114000618,2016,019170,11014,유동부채,CFS,연결재무제표,BS,재무상태표,제 31 기3분기말,2016.09.30 현재,"152,770,185,404",,제 30 기말,2015.12.31 현재,"184,244,913,884",,,,,7
20161114000618,2016,019170,11014,비유동부채,CFS,연결재무제표,BS,재무상태표,제 31 기3분기말,2016.09.30 현재,"36,588,500,749",,제 30 기말,2015.12.31 현재,"31,623,975,374",,,,,9
20161114000618,2016,019170,11014,부채총계,CFS,연결재무제표,BS,재무상태표,제 31 기3분기말,2016.09.30 현재,"189,358,686,153",,제 30 기말,2015.12.31 현재,"215,868,889,258",,,,,11
20161114000618,2016,019170,11014,이익잉여금,CFS,연결재무제표,BS,재무상태표,제 31 기3분기말,2016.09.30 현재,"164,434,642,626",,제 30 기말,2015.12.31 현재,"162,242,882,403",,,,,17
20161114000618,2016,019170,11014,자본총계,CFS,연결재무제표,BS,재무상태표,제 31 기3분기말,2016.09.30 현재,"233,519,526,447",,제 30 기말,2015.12.31 현재,"194,861,350,667",,,,,21
20161114000618,2016,019170,11014,매출액,CFS,연결재무제표,IS,손익계산서,제 31 기3분기,2016.01.01 ~ 2016.09.30,"48,781,566,699","147,993,741,672",제 30 기3분기,2015.01.01 ~ 2015.09.30,"46,537,361,939","143,960,571,556",,,,23
20161114000618,2016,019170,11014,영업이익,CFS,연결재무제표,IS,손익계산서,제 31 기3분기,2016.01.01 ~ 2016.09.30,"2,092,029,464","5,368,625,372",제 30 기3분기,2015.01.01 ~ 2015.09.30,"724,954,203","1,584,045,741",,,,25
20161114000618,2016,019170,11014,법인세차감전 순이익,CFS,연결재무제표,IS,손익계산서,제 31 기3분기,2016.01.01 ~ 2016.09.30,"27,961,349","3,366,500,583",제 30 기3분기,2015.01.01 ~ 2015.09.30,"250,792,727","-1,601,545,358",,,,27
20161114000618,2016,019170,11014,당기순이익,CFS,연결재무제표,IS,손익계산서,제 31 기3분기,2016.01.01 ~ 2016.09.30,"-363,198,924","2,196,148,975",제 30 기3분기,2015.01.01 ~ 2015.09.30,"50,883,258","-1,978,162,090",,,,29
20161114000618,2016,019170,11014,유동자산,OFS,재무제표,BS,재무상태표,제 31 기3분기말,2016.09.30 현재,"232,740,029,583",,제 30 기말,2015.12.31 현재,"210,815,696,508",,,,,2
20161114000618,2016,019170,11014,비유동자산,OFS,재무제표,BS,재무상태표,제 31 기3분기말,2016.09.30 현재,"183,710,113,836",,제 30 기말,2015.12.31 현재,"191,723,249,006",,,,,4
20161114000618,2016,019170,11014,자산총계,OFS,재무제표,BS,재무상태표,제 31 기3분기말,2016.09.30 현재,"416,450,143,419",,제 30 기말,2015.12.31 현재,"402,538,945,514",,,,,6
20161114000618,2016,019170,11014,유동부채,OFS,재무제표,BS,재무상태표,제 31 기3분기말,2016.09.30 현재,"151,512,942,353",,제 30 기말,2015.12.31 현재,"182,659,569,739",,,,,8
20161114000618,2016,019170,11014,비유동부채,OFS,재무제표,BS,재무상태표,제 31 기3분기말,2016.09.30 현재,"36,588,500,749",,제 30 기말,2015.12.31 현재,"31,623,975,374",,,,,10
20161114000618,2016,019170,11014,부채총계,OFS,재무제표,BS,재무상태표,제 31 기3분기말,2016.09.30 현재,"188,101,443,102",,제 30 기말,2015.12.31 현재,"214,283,545,113",,,,,12
20161114000618,2016,019170,11014,이익잉여금,OFS,재무제표,BS,재무상태표,제 31 기3분기말,2016.09.30 현재,"154,005,662,566",,제 30 기말,2015.12.31 현재,"151,446,018,099",,,,,19
20161114000618,2016,019170,11014,자본총계,OFS,재무제표,BS,재무상태표,제 31 기3분기말,2016.09.30 현재,"228,348,700,317",,제 30 기말,2015.12.31 현재,"188,255,400,401",,,,,22
20161114000618,2016,019170,11014,매출액,OFS,재무제표,IS,손익계산서,제 31 기3분기,2016.01.01 ~ 2016.09.30,"45,743,256,683","138,488,772,505",제 30 기3분기,2015.01.01 ~ 2015.09.30,"44,584,654,022","138,458,556,842",,,,24
20161114000618,2016,019170,11014,영업이익,OFS,재무제표,IS,손익계산서,제 31 기3분기,2016.01.01 ~ 2016.09.30,"2,084,306,479","4,817,113,228",제 30 기3분기,2015.01.01 ~ 2015.09.30,"691,191,052","2,068,164,070",,,,26
20161114000618,2016,019170,11014,법인세차감전 순이익,OFS,재무제표,IS,손익계산서,제 31 기3분기,2016.01.01 ~ 2016.09.30,"567,356,156","3,455,710,095",제 30 기3분기,2015.01.01 ~ 2015.09.30,"-133,450,527","-1,402,143,430",,,,28
20161114000618,2016,019170,11014,당기순이익,OFS,재무제표,IS,손익계산서,제 31 기3분기,2016.01.01 ~ 2016.09.30,"420,428,088","2,559,644,467",제 30 기3분기,2015.01.01 ~ 2015.09.30,"-342,951,539","-1,751,162,621",,,,30
20170331000351,2016,019170,11011,유동자산,CFS,연결재무제표,BS,재무상태표,제 31 기,2016.12.31 현재,"235,778,453,111",,제 30 기,2015.12.31 현재,"218,856,872,846",,제 29 기,2014.12.31 현재,"211,321,483,076",1
20170331000351,2016,019170,11011,비유동자산,CFS,연결재무제표,BS,재무상태표,제 31 기,2016.12.31 현재,"180,709,884,876",,제 30 기,2015.12.31 현재,"191,873,367,079",,제 29 기,2014.12.31 현재,"197,973,961,228",3
20170331000351,2016,019170,11011,자산총계,CFS,연결재무제표,BS,재무상태표,제 31 기,2016.12.31 현재,"416,488,337,987",,제 30 기,2015.12.31 현재,"410,730,239,925",,제 29 기,2014.12.31 현재,"409,295,444,304",5
20170331000351,2016,019170,11011,유동부채,CFS,연결재무제표,BS,재무상태표,제 31 기,2016.12.31 현재,"167,017,657,148",,제 30 기,2015.12.31 현재,"184,244,913,884",,제 29 기,2014.12.31 현재,"180,509,225,369",7
20170331000351,2016,019170,11011,비유동부채,CFS,연결재무제표,BS,재무상태표,제 31 기,2016.12.31 현재,"32,621,868,334",,제 30 기,2015.12.31 현재,"31,623,975,374",,제 29 기,2014.12.31 현재,"37,271,843,717",9
20170331000351,2016,019170,11011,부채총계,CFS,연결재무제표,BS,재무상태표,제 31 기,2016.12.31 현재,"199,639,525,482",,제 30 기,2015.12.31 현재,"215,868,889,258",,제 29 기,2014.12.31 현재,"217,781,069,086",11
20170331000351,2016,019170,11011,이익잉여금,CFS,연결재무제표,BS,재무상태표,제 31 기,2016.12.31 현재,"146,603,546,836",,제 30 기,2015.12.31 현재,"162,242,882,403",,제 29 기,2014.12.31 현재,"162,881,584,660",17
20170331000351,2016,019170,11011,자본총계,CFS,연결재무제표,BS,재무상태표,제 31 기,2016.12.31 현재,"216,848,812,505",,제 30 기,2015.12.31 현재,"194,861,350,667",,제 29 기,2014.12.31 현재,"191,514,375,218",21
20170331000351,2016,019170,11011,매출액,CFS,연결재무제표,IS,손익계산서,제 31 기,2016.01.01 ~ 2016.12.31,"194,147,337,499",,제 30 기,2015.01.01 ~ 2015.12.31,"195,950,486,358",,제 29 기,2014.01.01 ~ 2014.12.31,"220,291,937,934",23
